Check In,Forecasted_Total
2017-10-22,3011.5563872474813
2017-10-29,3063.7828620084197
2017-11-05,3317.8063353703037
2017-11-12,3722.373225115297
2017-11-19,3991.139411226478
2017-11-26,3840.713472305717
2017-12-03,3336.6974757907883
2017-12-10,2911.7855139701965
2017-12-17,2952.21396924296
2017-12-24,3379.017667734952
2017-12-31,3712.4827161216062
2018-01-07,3577.3577532812146
2018-01-14,3094.2058504340093
2018-01-21,2725.0135500987026
2018-01-28,2762.0218065603294
2018-02-04,3038.127252943969
2018-02-11,3154.1302352980456
2018-02-18,2924.978109878497
2018-02-25,2542.649684367231
2018-03-04,2329.0474536962374
2018-03-11,2411.4326957553008
2018-03-18,2664.855504712915
2018-03-25,2896.7924727909017
2018-04-01,3001.8281321107806
2018-04-08,2952.828534181551
2018-04-15,2751.9397393890104
2018-04-22,2466.481634489983
2018-04-29,2262.7296554698055
2018-05-06,2294.7146757721466
2018-05-13,2514.521984574485
2018-05-20,2671.6556551807525
2018-05-27,2578.309675181551
2018-06-03,2354.0819687204644
2018-06-10,2310.0227501221725
2018-06-17,2550.3128431576583
2018-06-24,2775.665795326993
2018-07-01,2604.724004131479
2018-07-08,2104.5532718648437
2018-07-15,1877.3852650867243
2018-07-22,2505.4152580337154
2018-07-29,3861.8693592330665
2018-08-05,5089.485323108125
2018-08-12,5329.321917410318
2018-08-19,4491.6106322832275
2018-08-26,3298.4279654498673
2018-09-02,2595.4204320047584
2018-09-09,2660.209253659471
2018-09-16,3145.648891458948
2018-09-23,3559.003324674172
2018-09-30,3709.8382059375595
2018-10-07,3686.9077479981825
2018-10-14,3616.7622424734172
2018-10-21,3554.062727498294
2018-10-28,3568.735557121247
2018-11-04,3771.983004938202
2018-11-11,4153.7669258711885
2018-11-18,4461.372373706405
2018-11-25,4382.7358836464755
2018-12-02,3905.7147664906647
2018-12-09,3410.54991904315
2018-12-16,3338.269341723291
2018-12-23,3705.6328583636623
2018-12-30,4074.5120006777743
2019-01-06,4010.606459321809
2019-01-13,3540.1050681129072
2019-01-20,3098.323626898807
2019-01-27,3042.6494474331553
2019-02-03,3285.4201151865936
2019-02-10,3435.2244337809
2019-02-17,3235.8949828661043
2019-02-24,2828.8038533715508
2019-03-03,2540.198955625044
2019-03-10,2546.1345344225283
2019-03-17,2756.92613659344
2019-03-24,2976.4707935872893
2019-03-31,3080.2700370057332
2019-04-07,3032.217219215558
2019-04-14,2829.182046374111
2019-04-21,2521.791382528999
2019-04-28,2262.6186215387947
2019-05-05,2216.626766738108
2019-05-12,2385.909314937501
2019-05-19,2542.4713481349854
2019-05-26,2463.1242480236997
2019-06-02,2208.469487009461
2019-06-09,2081.584135704935
2019-06-16,2250.8311994773035
2019-06-23,2480.127906220369
