ID,Group ID,Status,Created,Last Updated,Check In,Check Out,Room,,Nights,Guest,Booking,,Fees,Total,Paid,Owing,,,Booking Source
B5RU5,-,Checked Out,10/8/2023 21:40,2/1/2024 23:12,7/3/2023 15:00,9/10/2023 10:30,Rm 4,,216 Nights,728,6180,,0,6180,0,6180,,,DCC
B5RU1,-,Checked Out,10/8/2023 21:32,10/8/2023 21:32,13/02/2023 15:00,14/02/2023 10:30,Rm 1,,1 Night,729,30,,0,30,0,30,,,DCC
B5RTZ,-,Checked Out,10/8/2023 21:26,28/12/2023 21:38,7/2/2023 15:00,19/04/2023 10:30,Rm 3,,71 Nights,730,750,,0,750,0,750,,,DCC
B5RTY,-,Checked Out,10/8/2023 21:22,10/8/2023 21:22,30/01/2023 15:00,6/2/2023 10:30,Rm 7,,7 Nights,731,210,,0,210,0,210,,,DCC
B5RTW,-,Checked Out,10/8/2023 21:19,10/8/2023 21:19,24/01/2023 15:00,31/01/2023 10:30,Rm 5,,7 Nights,732,0,,0,0,0,0,,,EBC
B5RTV,-,Checked Out,10/8/2023 21:16,10/8/2023 21:16,17/01/2023 15:00,24/01/2023 10:30,Rm 5,,7 Nights,733,30,,0,30,0,30,,,EBC
B5RTT,-,Checked Out,10/8/2023 21:14,10/8/2023 21:14,10/1/2023 15:00,30/01/2023 10:30,Rm 1,,20 Nights,734,600,,0,600,0,600,,,DCC
B5RTS,-,Checked Out,10/8/2023 21:12,10/8/2023 21:13,4/1/2023 15:00,7/1/2023 10:30,Rm 1,,3 Nights,735,90,,0,90,0,90,,,EBC
B5RTO,-,Checked Out,10/8/2023 19:54,10/8/2023 19:56,8/12/2022 15:00,20/12/2022 10:30,Rm 4,,12 Nights,736,360,,0,360,0,360,,,DCC
B5RTN,-,Checked Out,10/8/2023 19:52,10/8/2023 19:52,15/12/2022 15:00,6/2/2023 10:30,Rm 3,,53 Nights,737,1590,,0,1590,0,1590,,,DCC
B5RTK,-,Checked Out,10/8/2023 19:41,10/8/2023 19:43,28/11/2022 15:00,2/2/2023 10:30,Rm 6,,66 Nights,738,1980,,0,1980,0,1980,,,DCC
B5RTI,-,Checked Out,10/8/2023 19:33,10/8/2023 19:33,15/11/2022 15:00,17/02/2023 10:30,Rm 8,,94 Nights,739,2010,,0,2010,0,2010,,,DCC
B5RTH,-,Checked Out,10/8/2023 19:32,10/8/2023 19:32,9/11/2022 15:00,8/12/2022 10:30,Rm 4,,29 Nights,740,870,,0,870,0,870,,,DCC
B5RTG,-,Checked Out,10/8/2023 19:28,10/8/2023 19:28,7/11/2022 15:00,8/11/2022 10:30,Rm 2,,1 Night,741,30,,0,30,0,30,,,DCC
B5RTB,-,Checked Out,10/8/2023 19:18,10/8/2023 19:20,5/10/2022 15:00,4/11/2022 10:30,Rm 4,,30 Nights,742,900,,0,900,0,900,,,DCC
B5RTA,-,Checked In,10/8/2023 19:13,10/8/2023 19:15,30/09/2022 15:00,31/10/2022 10:30,Rm 9,,31 Nights,743,930,,0,930,0,930,,,DCC
B5RT8,-,Checked Out,10/8/2023 19:12,10/8/2023 19:12,26/09/2022 15:00,4/10/2022 10:30,Rm 6,,8 Nights,744,240,,0,240,0,240,,,SRSS
B5RT7,-,Checked Out,10/8/2023 19:10,10/8/2023 19:11,26/09/2022 15:00,4/10/2022 10:30,Rm 4,,8 Nights,745,240,,0,240,0,240,,,SRSS
B5RT6,-,Checked Out,10/8/2023 19:05,10/8/2023 19:05,22/09/2022 15:00,26/09/2022 10:30,Rm 5,,4 Nights,746,120,,0,120,0,120,,,DCC
B5RT5,-,Checked Out,10/8/2023 19:03,10/8/2023 19:03,20/09/2022 15:00,2/11/2022 10:30,Rm 3,,43 Nights,747,1290,,0,1290,0,1290,,,DCC
B5RT4,-,Checked Out,10/8/2023 19:02,10/8/2023 19:02,20/09/2022 15:00,28/09/2022 10:30,Rm 9,,8 Nights,748,240,,0,240,0,240,,,DCC
B5RT1,-,Checked Out,10/8/2023 18:58,10/8/2023 18:59,13/09/2022 15:00,23/09/2022 10:30,Rm 4,,10 Nights,749,300,,0,300,0,300,,,DCC
B5RT0,-,Checked Out,10/8/2023 18:55,10/8/2023 18:55,12/9/2022 15:00,21/01/2023 10:30,Rm 7,,131 Nights,750,3840,,0,3840,0,3840,,,DCC
B5RSX,-,Checked Out,10/8/2023 18:45,10/8/2023 18:45,31/08/2022 15:00,2/9/2022 10:30,Rm 4,,2 Nights,751,60,,0,60,0,60,,,DCC
B5RSW,-,Checked Out,10/8/2023 18:34,10/8/2023 18:34,31/08/2022 15:00,3/10/2022 10:30,Rm 8,,33 Nights,752,990,,0,990,0,990,,,DCC
B5RSS,-,Checked Out,10/8/2023 18:22,10/8/2023 18:22,18/08/2022 15:00,25/08/2022 10:30,Rm 7,,7 Nights,753,210,,0,210,0,210,,,DCC
B5RSO,-,Checked Out,10/8/2023 18:14,10/8/2023 18:14,8/8/2022 15:00,9/8/2022 10:30,Rm 4,,1 Night,754,30,,0,30,0,30,,,DCC
B4U2T,-,Checked Out,2/8/2022 17:12,2/8/2022 17:12,29/04/2022 15:00,31/05/2022 10:30,Rm 8,,32 Nights,755,960,,0,960,0,960,,,EBC
B4TZO,-,Checked Out,1/8/2022 16:55,10/8/2023 18:11,1/8/2022 15:00,3/8/2022 10:30,Rm 4,,2 Nights,756,60,,0,60,0,60,,,DCC
B4TZN,-,Checked Out,1/8/2022 16:53,10/8/2023 18:29,18/07/2022 15:00,22/08/2022 10:30,Rm 6,,35 Nights,757,1050,,0,1050,0,1050,,,DCC
B4TZM,-,Checked Out,1/8/2022 16:50,1/8/2022 16:50,5/7/2022 15:00,20/07/2022 10:30,Rm 4,,15 Nights,758,450,,0,450,0,450,,,EBC
B4TZK,-,Checked Out,1/8/2022 16:46,1/8/2022 16:46,30/06/2022 15:00,1/7/2022 10:30,Rm 4,,1 Night,759,30,,0,30,0,30,,,DCC
B4TZJ,-,Checked Out,1/8/2022 16:45,1/8/2022 16:45,29/06/2022 15:00,11/7/2022 10:30,Rm 6,,12 Nights,760,360,,0,360,0,360,,,DCC
B4TZH,-,Checked Out,1/8/2022 16:44,10/8/2023 18:18,27/06/2022 15:00,8/8/2022 10:30,Rm 8,,42 Nights,761,1260,,0,1260,0,1260,,,DCC
B4TZG,-,Checked In,1/8/2022 16:42,1/8/2022 16:42,21/06/2022 15:00,31/08/2022 10:30,Rm 3,,71 Nights,762,2130,,0,2130,0,2130,,,DCC
